co_bodyid_type,MBON-M4,MBON-M6,MBON-α′3
KCg-m,8.0,34522.0,7.0
MBON-M6,170.0,26844.0,0.0
PAM01_a,47.0,7708.0,0.0
APL,1149.0,6695.0,1493.0
KCg-d,0.0,3665.0,0.0
DPM,1508.0,3123.0,1823.0
PAM02,1227.0,3017.0,0.0
KCa'b'-ap1,3087.0,3013.0,2156.0
PAM01_b,4.0,2828.0,0.0
MBON29,0.0,2033.0,0.0
KCa'b'-ap2,8205.0,1822.0,4044.0
MBON21,1.0,1441.0,0.0
MBON27,11.0,1081.0,0.0
PAM15_b,134.0,720.0,0.0
MBON05,33.0,679.0,0.0
PAM15_a,49.0,420.0,0.0
PAM08_b,1.0,334.0,0.0
KCg-t,0.0,334.0,0.0
PAM08_e,0.0,324.0,0.0
MBON24,3.0,275.0,0.0
KCa'b'-m,7235.0,254.0,2510.0
MBON26,656.0,223.0,0.0
PAM06_b,1458.0,201.0,0.0
MBON-M4,13662.0,170.0,0.0
KCg-s1,4.0,147.0,0.0
MBON02,380.0,138.0,20.0
KCg-s2,1.0,78.0,0.0
PAM04_b,1.0,59.0,0.0
OA-VPM3,7.0,43.0,3.0
CRE048,0.0,30.0,4.0
PAM05,2245.0,29.0,0.0
CRE022,0.0,24.0,0.0
MBON11,9.0,23.0,3.0
CRE067,0.0,22.0,
PAM07,1.0,22.0,0.0
PAM08_c,19.0,21.0,0.0
PAM04_a,45.0,21.0,0.0
PAM08_d,73.0,20.0,0.0
SMP577,,19.0,
PAM13,7.0,19.0,0.0
KCg-s3,0.0,17.0,
MBON09,60.0,17.0,0.0
SMP031,0.0,17.0,
MBON04,2198.0,16.0,0.0
SMP146,9.0,15.0,0.0
CRE030_b,0.0,15.0,0.0
CRE024,2.0,14.0,0.0
CRE004,,13.0,
CRE027,0.0,13.0,
PAM12,3.0,12.0,0.0
LAL159,,12.0,
SMP056,,12.0,
MBON34,0.0,10.0,
MBON22,0.0,10.0,0.0
SMP156,,10.0,
