,target_MBON,co_bodyid_type,synapticsite_count
0,MBON-M6,5-HTPMPD01,0.0
1,MBON-M6,ALBN1,0.0
2,MBON-M6,ALIN1,0.0
3,MBON-M6,AOTU008_a,0.0
4,MBON-M6,AOTU019,1.0
5,MBON-M6,AOTU020,0.0
6,MBON-M6,AOTU021,0.0
7,MBON-M6,AOTU022,0.0
8,MBON-M6,AOTU030,0.0
9,MBON-M6,AOTU031,0.0
10,MBON-M6,APL,6695.0
11,MBON-M6,ATL005,0.0
12,MBON-M6,ATL007,2.0
13,MBON-M6,ATL035,0.0
14,MBON-M6,AVLP477,2.0
15,MBON-M6,AVLP562,0.0
16,MBON-M6,AVLP563,7.0
17,MBON-M6,CL021,0.0
18,MBON-M6,CL123,0.0
19,MBON-M6,CL129,0.0
20,MBON-M6,CL199,2.0
21,MBON-M6,CL205,0.0
22,MBON-M6,CL247,0.0
23,MBON-M6,CL261,2.0
24,MBON-M6,CL265,4.0
25,MBON-M6,CL326,0.0
26,MBON-M6,CL336,0.0
27,MBON-M6,CL337,0.0
28,MBON-M6,CRE001,0.0
29,MBON-M6,CRE004,13.0
30,MBON-M6,CRE005,0.0
31,MBON-M6,CRE008,0.0
32,MBON-M6,CRE009,0.0
33,MBON-M6,CRE011,0.0
34,MBON-M6,CRE012,0.0
35,MBON-M6,CRE021,0.0
36,MBON-M6,CRE022,24.0
37,MBON-M6,CRE023,5.0
38,MBON-M6,CRE024,14.0
39,MBON-M6,CRE025,3.0
40,MBON-M6,CRE026,1.0
41,MBON-M6,CRE027,13.0
42,MBON-M6,CRE028,0.0
43,MBON-M6,CRE029_a,5.0
44,MBON-M6,CRE029_b,0.0
45,MBON-M6,CRE029_c,3.0
46,MBON-M6,CRE030_a,7.0
47,MBON-M6,CRE030_b,15.0
48,MBON-M6,CRE031,5.0
49,MBON-M6,CRE032,2.0
50,MBON-M6,CRE035,0.0
51,MBON-M6,CRE036,4.0
52,MBON-M6,CRE037,2.0
53,MBON-M6,CRE038,5.0
54,MBON-M6,CRE039,0.0
55,MBON-M6,CRE040,6.0
56,MBON-M6,CRE041,1.0
57,MBON-M6,CRE042,8.0
58,MBON-M6,CRE043_a,0.0
59,MBON-M6,CRE043_b,0.0
60,MBON-M6,CRE043_c,0.0
61,MBON-M6,CRE043_d,0.0
62,MBON-M6,CRE044,0.0
63,MBON-M6,CRE045,0.0
64,MBON-M6,CRE046,0.0
65,MBON-M6,CRE047,1.0
66,MBON-M6,CRE048,30.0
67,MBON-M6,CRE049,0.0
68,MBON-M6,CRE050,0.0
69,MBON-M6,CRE051,0.0
70,MBON-M6,CRE054,0.0
71,MBON-M6,CRE055,0.0
72,MBON-M6,CRE058,0.0
73,MBON-M6,CRE059,0.0
74,MBON-M6,CRE060,0.0
75,MBON-M6,CRE061,0.0
76,MBON-M6,CRE062,0.0
77,MBON-M6,CRE064,0.0
78,MBON-M6,CRE065,0.0
79,MBON-M6,CRE066,0.0
80,MBON-M6,CRE067,22.0
81,MBON-M6,CRE068,0.0
82,MBON-M6,CRE070,0.0
83,MBON-M6,CRE072,0.0
84,MBON-M6,CRE074,0.0
85,MBON-M6,CRE075,0.0
86,MBON-M6,CRE076,0.0
87,MBON-M6,CRE077,0.0
88,MBON-M6,CRE079,0.0
89,MBON-M6,CRE080,6.0
90,MBON-M6,CRE081,0.0
91,MBON-M6,CRE092,0.0
92,MBON-M6,CRE098,0.0
93,MBON-M6,CRE100,0.0
94,MBON-M6,CRE101,1.0
95,MBON-M6,CRE105,6.0
96,MBON-M6,CRE106,0.0
97,MBON-M6,CRE107,9.0
98,MBON-M6,CRE108,0.0
99,MBON-M6,DPM,3123.0
100,MBON-M6,DSKMP1B,0.0
101,MBON-M6,ExR2,0.0
102,MBON-M6,FB1C,0.0
103,MBON-M6,FB1H,1.0
104,MBON-M6,FB2B_a,0.0
105,MBON-M6,FB2B_b,0.0
106,MBON-M6,FB2C,0.0
107,MBON-M6,FB4D,0.0
108,MBON-M6,FB4K,7.0
109,MBON-M6,FB4O,0.0
110,MBON-M6,FB4P_b,0.0
111,MBON-M6,FB4R,3.0
112,MBON-M6,FB5D,0.0
113,MBON-M6,FB6U,0.0
114,MBON-M6,KCa'b'-ap1,3015.0
115,MBON-M6,KCa'b'-ap2,1822.0
116,MBON-M6,KCa'b'-m,254.0
117,MBON-M6,KCab-m,0.0
118,MBON-M6,KCab-p,0.0
119,MBON-M6,KCab-s,0.0
120,MBON-M6,KCg-d,3667.0
121,MBON-M6,KCg-m,34523.0
122,MBON-M6,KCg-s1,147.0
123,MBON-M6,KCg-s2,78.0
124,MBON-M6,KCg-s3,17.0
125,MBON-M6,KCg-s4,0.0
126,MBON-M6,KCg-t,334.0
127,MBON-M6,LAL007,1.0
128,MBON-M6,LAL040,0.0
129,MBON-M6,LAL042,0.0
130,MBON-M6,LAL043,0.0
131,MBON-M6,LAL080,0.0
132,MBON-M6,LAL085,0.0
133,MBON-M6,LAL100,0.0
134,MBON-M6,LAL110,0.0
135,MBON-M6,LAL129,0.0
136,MBON-M6,LAL137,1.0
137,MBON-M6,LAL141,0.0
138,MBON-M6,LAL154,2.0
139,MBON-M6,LAL155,0.0
140,MBON-M6,LAL159,12.0
141,MBON-M6,LAL185,0.0
142,MBON-M6,LAL190,0.0
143,MBON-M6,LAL193,0.0
144,MBON-M6,LAL198,2.0
145,MBON-M6,LC33a,0.0
146,MBON-M6,LHAD2e3,0.0
147,MBON-M6,LHAV9a1_a,0.0
148,MBON-M6,LHCENT1,0.0
149,MBON-M6,LHCENT11,0.0
150,MBON-M6,LHCENT2,0.0
151,MBON-M6,LHCENT3,1.0
152,MBON-M6,LHCENT4,0.0
153,MBON-M6,LHCENT8,0.0
154,MBON-M6,LHCENT9,0.0
155,MBON-M6,LHMB1,0.0
156,MBON-M6,LHPD2b1_a,0.0
157,MBON-M6,LHPD2d1,0.0
158,MBON-M6,LHPD4c1,0.0
159,MBON-M6,LHPD5d1,0.0
160,MBON-M6,LHPV4m1,0.0
161,MBON-M6,LHPV5e1,0.0
162,MBON-M6,LHPV7c1,0.0
163,MBON-M6,LHPV8a1,1.0
164,MBON-M6,LHPV9b1,0.0
165,MBON-M6,LNO3,2.0
166,MBON-M6,MBON-M4,170.0
167,MBON-M6,MBON-M6,26847.0
168,MBON-M6,MBON-α′3,0.0
169,MBON-M6,MBON02,138.0
170,MBON-M6,MBON04,16.0
171,MBON-M6,MBON05,679.0
172,MBON-M6,MBON06,1.0
173,MBON-M6,MBON07,0.0
174,MBON-M6,MBON09,17.0
175,MBON-M6,MBON10,0.0
176,MBON-M6,MBON11,23.0
177,MBON-M6,MBON12,0.0
178,MBON-M6,MBON13,0.0
179,MBON-M6,MBON14,0.0
180,MBON-M6,MBON15,0.0
181,MBON-M6,MBON15-like,0.0
182,MBON-M6,MBON17-like,0.0
183,MBON-M6,MBON18,0.0
184,MBON-M6,MBON19,0.0
185,MBON-M6,MBON20,3.0
186,MBON-M6,MBON21,1441.0
187,MBON-M6,MBON22,10.0
188,MBON-M6,MBON23,0.0
189,MBON-M6,MBON24,275.0
190,MBON-M6,MBON25,1.0
191,MBON-M6,MBON26,223.0
192,MBON-M6,MBON27,1081.0
193,MBON-M6,MBON28,0.0
194,MBON-M6,MBON29,2033.0
195,MBON-M6,MBON30,9.0
196,MBON-M6,MBON31,0.0
197,MBON-M6,MBON32,0.0
198,MBON-M6,MBON33,3.0
199,MBON-M6,MBON34,10.0
200,MBON-M6,MBON35,0.0
201,MBON-M6,M_lvPNm30,0.0
202,MBON-M6,NPFL1-I,0.0
203,MBON-M6,OA-VPM3,43.0
204,MBON-M6,OA-VPM4,0.0
205,MBON-M6,PAM01_a,7708.0
206,MBON-M6,PAM01_b,2828.0
207,MBON-M6,PAM02,3018.0
208,MBON-M6,PAM03,3.0
209,MBON-M6,PAM04_a,21.0
210,MBON-M6,PAM04_b,59.0
211,MBON-M6,PAM05,29.0
212,MBON-M6,PAM06_a,6.0
213,MBON-M6,PAM06_b,201.0
214,MBON-M6,PAM07,22.0
215,MBON-M6,PAM08_a,10.0
216,MBON-M6,PAM08_b,334.0
217,MBON-M6,PAM08_c,21.0
218,MBON-M6,PAM08_d,20.0
219,MBON-M6,PAM08_e,324.0
220,MBON-M6,PAM09,0.0
221,MBON-M6,PAM10,0.0
222,MBON-M6,PAM11,0.0
223,MBON-M6,PAM12,12.0
224,MBON-M6,PAM13,19.0
225,MBON-M6,PAM14,8.0
226,MBON-M6,PAM15_a,420.0
227,MBON-M6,PAM15_b,720.0
228,MBON-M6,PLP162,0.0
229,MBON-M6,PPL101,2.0
230,MBON-M6,PPL102,1.0
231,MBON-M6,PPL103,1.0
232,MBON-M6,PPL104,3.0
233,MBON-M6,PPL105,0.0
234,MBON-M6,PPL106,0.0
235,MBON-M6,PPL108,0.0
236,MBON-M6,PS042,0.0
237,MBON-M6,SIFa,1.0
238,MBON-M6,SIP015,0.0
239,MBON-M6,SIP016,0.0
240,MBON-M6,SIP017,0.0
241,MBON-M6,SIP019,0.0
242,MBON-M6,SIP023,0.0
243,MBON-M6,SIP026,0.0
244,MBON-M6,SIP028,0.0
245,MBON-M6,SIP030,0.0
246,MBON-M6,SIP035,0.0
247,MBON-M6,SIP036,0.0
248,MBON-M6,SIP057,0.0
249,MBON-M6,SIP084,0.0
250,MBON-M6,SIP087,0.0
251,MBON-M6,SIP090,0.0
252,MBON-M6,SLP242,0.0
253,MBON-M6,SLP278,0.0
254,MBON-M6,SLP461,0.0
255,MBON-M6,SMP012,0.0
256,MBON-M6,SMP026,0.0
257,MBON-M6,SMP027,0.0
258,MBON-M6,SMP031,17.0
259,MBON-M6,SMP053,0.0
260,MBON-M6,SMP056,12.0
261,MBON-M6,SMP075,0.0
262,MBON-M6,SMP108,1.0
263,MBON-M6,SMP114,2.0
264,MBON-M6,SMP115,0.0
265,MBON-M6,SMP116,0.0
266,MBON-M6,SMP120,0.0
267,MBON-M6,SMP122,0.0
268,MBON-M6,SMP123,0.0
269,MBON-M6,SMP127,6.0
270,MBON-M6,SMP128,0.0
271,MBON-M6,SMP140,2.0
272,MBON-M6,SMP141,0.0
273,MBON-M6,SMP142,6.0
274,MBON-M6,SMP145,0.0
275,MBON-M6,SMP146,15.0
276,MBON-M6,SMP148,8.0
277,MBON-M6,SMP151,0.0
278,MBON-M6,SMP152,0.0
279,MBON-M6,SMP153,0.0
280,MBON-M6,SMP156,10.0
281,MBON-M6,SMP157,0.0
282,MBON-M6,SMP164,0.0
283,MBON-M6,SMP165,5.0
284,MBON-M6,SMP171,0.0
285,MBON-M6,SMP172,0.0
286,MBON-M6,SMP174,0.0
287,MBON-M6,SMP175,0.0
288,MBON-M6,SMP177,0.0
289,MBON-M6,SMP178,0.0
290,MBON-M6,SMP179,0.0
291,MBON-M6,SMP194,2.0
292,MBON-M6,SMP195_b,0.0
293,MBON-M6,SMP212,0.0
294,MBON-M6,SMP237,0.0
295,MBON-M6,SMP238,0.0
296,MBON-M6,SMP239,0.0
297,MBON-M6,SMP240,0.0
298,MBON-M6,SMP273,0.0
299,MBON-M6,SMP370,0.0
300,MBON-M6,SMP376,2.0
301,MBON-M6,SMP443,0.0
302,MBON-M6,SMP450,0.0
303,MBON-M6,SMP457,0.0
304,MBON-M6,SMP558,0.0
305,MBON-M6,SMP568_a,0.0
306,MBON-M6,SMP569,0.0
307,MBON-M6,SMP570,0.0
308,MBON-M6,SMP573,0.0
309,MBON-M6,SMP577,19.0
310,MBON-M6,SMP603,0.0
311,MBON-M6,VES079,0.0
312,MBON-M6,VP1d_il2PN,0.0
313,MBON-M6,WEDPN4,0.0
314,MBON-M6,mAL1,0.0
315,MBON-M6,mAL4,0.0
316,MBON-M6,mAL6,0.0
317,MBON-M6,mALB1,0.0
318,MBON-M6,mALD2,0.0
319,MBON-M6,mALD3,0.0
320,MBON-M6,mALD4,0.0
0,MBON-M4,5-HTPMPD01,0.0
1,MBON-M4,ALIN1,8.0
2,MBON-M4,AOTU008_a,0.0
3,MBON-M4,APL,1149.0
4,MBON-M4,ATL007,0.0
5,MBON-M4,CL021,0.0
6,MBON-M4,CL129,0.0
7,MBON-M4,CL205,0.0
8,MBON-M4,CL337,0.0
9,MBON-M4,CRE011,0.0
